	
Java_11_JEPs_Scope (Java Bug System)	
Displaying 4 issues at 2018-01-22 18:32.	
Summary	Scope
JEP 234: Additional Run-Time Compiler JVM Trace Events	Implementation
JEP 309: Dynamic Class-File Constants	SE
JEP 318: Epsilon: An Arbitrarily Low-Overhead Garbage Collector	Implementation
JEP 320: Remove the Java EE and CORBA Modules	SE
Generated at Mon Jan 22 17:32:22 UTC 2018 by Volker Simonis using JIRA 6.4.5#64020-sha1:78acd6c502bd8e526a3f0032b770e55d6f3a3b0f. 	
