java/lang/String/CompactString/Concat.java total: 38, passed: 38, failed: 0, skipped: 0, config failed: 0, config skipped: 0
java/lang/String/CompactString/Contains.java total: 62, passed: 62, failed: 0, skipped: 0, config failed: 0, config skipped: 0
java/lang/String/CompactString/EndsWith.java total: 70, passed: 70, failed: 0, skipped: 0, config failed: 0, config skipped: 0
java/lang/String/CompactString/Equals.java total: 50, passed: 50, failed: 0, skipped: 0, config failed: 0, config skipped: 0
java/lang/String/CompactString/EqualsIgnoreCase.java total: 28, passed: 28, failed: 0, skipped: 0, config failed: 0, config skipped: 0
java/lang/String/CompactString/GetChars.java total: 22, passed: 22, failed: 0, skipped: 0, config failed: 0, config skipped: 0
java/lang/String/CompactString/IndexOf.java total: 218, passed: 218, failed: 0, skipped: 0, config failed: 0, config skipped: 0
java/lang/String/CompactString/Intern.java total: 16, passed: 16, failed: 0, skipped: 0, config failed: 0, config skipped: 0
java/lang/String/CompactString/LastIndexOf.java total: 182, passed: 182, failed: 0, skipped: 0, config failed: 0, config skipped: 0
java/lang/String/CompactString/Length.java total: 20, passed: 20, failed: 0, skipped: 0, config failed: 0, config skipped: 0
java/lang/String/CompactString/Numbers.java total: 68, passed: 68, failed: 0, skipped: 0, config failed: 0, config skipped: 0
java/lang/String/CompactString/OffsetByCodePoints.java total: 20, passed: 20, failed: 0, skipped: 0, config failed: 0, config skipped: 0
java/lang/String/CompactString/RegionMatches.java total: 66, passed: 66, failed: 0, skipped: 0, config failed: 0, config skipped: 0
java/lang/String/CompactString/Replace.java total: 56, passed: 56, failed: 0, skipped: 0, config failed: 0, config skipped: 0
java/lang/String/CompactString/SerializationTest.java total: 22, passed: 22, failed: 0, skipped: 0, config failed: 0, config skipped: 0
java/lang/String/CompactString/Split.java total: 96, passed: 96, failed: 0, skipped: 0, config failed: 0, config skipped: 0
java/lang/String/CompactString/StartsWith.java total: 82, passed: 82, failed: 0, skipped: 0, config failed: 0, config skipped: 0
java/lang/String/CompactString/SubString.java total: 46, passed: 46, failed: 0, skipped: 0, config failed: 0, config skipped: 0
java/lang/String/CompactString/ToCharArray.java total: 16, passed: 16, failed: 0, skipped: 0, config failed: 0, config skipped: 0
java/lang/String/CompactString/ToLowerCase.java total: 16, passed: 16, failed: 0, skipped: 0, config failed: 0, config skipped: 0
java/lang/String/CompactString/ToUpperCase.java total: 16, passed: 16, failed: 0, skipped: 0, config failed: 0, config skipped: 0
java/lang/String/CompactString/Trim.java total: 16, passed: 16, failed: 0, skipped: 0, config failed: 0, config skipped: 0
java/lang/String/CompactString/VMOptionsTest.java total: 16, passed: 16, failed: 0, skipped: 0, config failed: 0, config skipped: 0
java/lang/String/CompactString/ValueOf.java total: 36, passed: 36, failed: 0, skipped: 0, config failed: 0, config skipped: 0
java/lang/String/LiteralReplace.java total: 2783, passed: 2783, failed: 0, skipped: 0, config failed: 0, config skipped: 0
java/lang/String/StringJoinTest.java total: 8, passed: 8, failed: 0, skipped: 0, config failed: 0, config skipped: 0
java/lang/StringBuffer/CompactStringBuffer.java total: 24, passed: 24, failed: 0, skipped: 0, config failed: 0, config skipped: 0
java/lang/StringBuffer/CompactStringBufferSerialization.java total: 22, passed: 22, failed: 0, skipped: 0, config failed: 0, config skipped: 0
java/lang/StringBuilder/Capacity.java total: 40, passed: 40, failed: 0, skipped: 0, config failed: 0, config skipped: 0
java/lang/StringBuilder/CompactStringBuilder.java total: 22, passed: 22, failed: 0, skipped: 0, config failed: 0, config skipped: 0
java/lang/StringBuilder/CompactStringBuilderSerialization.java total: 22, passed: 22, failed: 0, skipped: 0, config failed: 0, config skipped: 0
java/lang/Thread/StopThrowable.java total: 3, passed: 3, failed: 0, skipped: 0, config failed: 0, config skipped: 0
java/lang/ThreadLocal/ThreadLocalSupplierTest.java total: 2, passed: 2, failed: 0, skipped: 0, config failed: 0, config skipped: 0
java/lang/annotation/AnnotationVerifier.java total: 26, passed: 26, failed: 0, skipped: 0, config failed: 0, config skipped: 0
java/lang/annotation/AnnotationWithLambda.java total: 1, passed: 1, failed: 0, skipped: 0, config failed: 0, config skipped: 0
java/lang/annotation/TypeVariableBounds.java total: 8, passed: 8, failed: 0, skipped: 0, config failed: 0, config skipped: 0
java/lang/annotation/typeAnnotations/BadCPIndex.java total: 3, passed: 3, failed: 0, skipped: 0, config failed: 0, config skipped: 0
java/lang/annotation/typeAnnotations/ConstructorReceiverTest.java total: 20, passed: 20, failed: 0, skipped: 0, config failed: 0, config skipped: 0
java/lang/annotation/typeAnnotations/TestExecutableGetAnnotatedType.java total: 273, passed: 273, failed: 0, skipped: 0, config failed: 0, config skipped: 0
java/lang/instrument/RedefineModuleTest.java total: 12, passed: 12, failed: 0, skipped: 0, config failed: 0, config skipped: 0
java/lang/instrument/executableJAR/ExecJarWithAgent.java total: 3, passed: 3, failed: 0, skipped: 0, config failed: 0, config skipped: 0
java/lang/invoke/8147078/Test8147078.java total: 1, passed: 1, failed: 0, skipped: 0, config failed: 0, config skipped: 0
java/lang/invoke/8177146/TestMethodHandleBind.java total: 7, passed: 7, failed: 0, skipped: 0, config failed: 0, config skipped: 0
java/lang/invoke/AccessControlTest.java total: 1, passed: 1, failed: 0, skipped: 0, config failed: 0, config skipped: 0
java/lang/invoke/ArrayConstructorTest.java total: 5, passed: 5, failed: 0, skipped: 0, config failed: 0, config skipped: 0
java/lang/invoke/ArrayLengthTest.java total: 23, passed: 23, failed: 0, skipped: 0, config failed: 0, config skipped: 0
java/lang/invoke/ClassSpecializerTest.java total: 1, passed: 1, failed: 0, skipped: 0, config failed: 0, config skipped: 0
java/lang/invoke/ClassValueTest.java total: 3, passed: 3, failed: 0, skipped: 0, config failed: 0, config skipped: 0
java/lang/invoke/CompileThresholdBootstrapTest.java total: 1, passed: 1, failed: 0, skipped: 0, config failed: 0, config skipped: 0
java/lang/invoke/ConstantIdentityMHTest.java total: 13, passed: 13, failed: 0, skipped: 0, config failed: 0, config skipped: 0
java/lang/invoke/DefineClassTest.java total: 9, passed: 9, failed: 0, skipped: 0, config failed: 0, config skipped: 0
java/lang/invoke/DropArgumentsTest.java total: 10, passed: 10, failed: 0, skipped: 0, config failed: 0, config skipped: 0
java/lang/invoke/DropLookupModeTest.java total: 7, passed: 7, failed: 0, skipped: 0, config failed: 0, config skipped: 0
java/lang/invoke/FindAccessTest.java total: 3, passed: 3, failed: 0, skipped: 0, config failed: 0, config skipped: 0
java/lang/invoke/FoldTest.java total: 5, passed: 5, failed: 0, skipped: 0, config failed: 0, config skipped: 0
java/lang/invoke/InvokeGenericTest.java total: 7, passed: 7, failed: 0, skipped: 0, config failed: 0, config skipped: 0
java/lang/invoke/InvokeMethodHandleWithBadArgument.java total: 11, passed: 11, failed: 0, skipped: 0, config failed: 0, config skipped: 0
java/lang/invoke/InvokeWithArgumentsTest.java total: 6, passed: 6, failed: 0, skipped: 0, config failed: 0, config skipped: 0
java/lang/invoke/JavaDocExamplesTest.java total: 31, passed: 31, failed: 0, skipped: 0, config failed: 0, config skipped: 0
java/lang/invoke/JavaUtilConcurrentLookupTest.java total: 2, passed: 2, failed: 0, skipped: 0, config failed: 0, config skipped: 0
java/lang/invoke/LoopCombinatorTest.java total: 138, passed: 138, failed: 0, skipped: 0, config failed: 0, config skipped: 0
java/lang/invoke/MethodHandles/privateLookupIn/Driver.java total: 12, passed: 12, failed: 0, skipped: 0, config failed: 0, config skipped: 0
java/lang/invoke/MethodTypeTest.java total: 25, passed: 25, failed: 0, skipped: 0, config failed: 0, config skipped: 0
java/lang/invoke/PermuteArgsReturnVoidTest.java total: 2, passed: 2, failed: 0, skipped: 0, config failed: 0, config skipped: 0
java/lang/invoke/PermuteArgsTest.java total: 1, passed: 1, failed: 0, skipped: 0, config failed: 0, config skipped: 0
java/lang/invoke/SpreadCollectTest.java total: 17, passed: 17, failed: 0, skipped: 0, config failed: 0, config skipped: 0
java/lang/invoke/ThrowExceptionsTest.java total: 5, passed: 5, failed: 0, skipped: 0, config failed: 0, config skipped: 0
java/lang/invoke/TryFinallyTest.java total: 13, passed: 13, failed: 0, skipped: 0, config failed: 0, config skipped: 0
java/lang/invoke/VarArgsTest.java total: 3, passed: 3, failed: 0, skipped: 0, config failed: 0, config skipped: 0
java/lang/invoke/VarHandles/VarHandleTestAccessBoolean.java total: 76, passed: 76, failed: 0, skipped: 0, config failed: 0, config skipped: 0
java/lang/invoke/VarHandles/VarHandleTestAccessByte.java total: 76, passed: 76, failed: 0, skipped: 0, config failed: 0, config skipped: 0
java/lang/invoke/VarHandles/VarHandleTestAccessChar.java total: 76, passed: 76, failed: 0, skipped: 0, config failed: 0, config skipped: 0
java/lang/invoke/VarHandles/VarHandleTestAccessDouble.java total: 76, passed: 76, failed: 0, skipped: 0, config failed: 0, config skipped: 0
java/lang/invoke/VarHandles/VarHandleTestAccessFloat.java total: 76, passed: 76, failed: 0, skipped: 0, config failed: 0, config skipped: 0
java/lang/invoke/VarHandles/VarHandleTestAccessInt.java total: 76, passed: 76, failed: 0, skipped: 0, config failed: 0, config skipped: 0
java/lang/invoke/VarHandles/VarHandleTestAccessLong.java total: 76, passed: 76, failed: 0, skipped: 0, config failed: 0, config skipped: 0
java/lang/invoke/VarHandles/VarHandleTestAccessModeMethodNames.java total: 62, passed: 62, failed: 0, skipped: 0, config failed: 0, config skipped: 0
java/lang/invoke/VarHandles/VarHandleTestAccessShort.java total: 76, passed: 76, failed: 0, skipped: 0, config failed: 0, config skipped: 0
java/lang/invoke/VarHandles/VarHandleTestAccessString.java total: 76, passed: 76, failed: 0, skipped: 0, config failed: 0, config skipped: 0
java/lang/invoke/VarHandles/VarHandleTestByteArrayAsChar.java total: 336, passed: 336, failed: 0, skipped: 0, config failed: 0, config skipped: 0
java/lang/invoke/VarHandles/VarHandleTestByteArrayAsDouble.java total: 336, passed: 336, failed: 0, skipped: 0, config failed: 0, config skipped: 0
java/lang/invoke/VarHandles/VarHandleTestByteArrayAsFloat.java total: 336, passed: 336, failed: 0, skipped: 0, config failed: 0, config skipped: 0
java/lang/invoke/VarHandles/VarHandleTestByteArrayAsInt.java total: 336, passed: 336, failed: 0, skipped: 0, config failed: 0, config skipped: 0
java/lang/invoke/VarHandles/VarHandleTestByteArrayAsLong.java total: 336, passed: 336, failed: 0, skipped: 0, config failed: 0, config skipped: 0
java/lang/invoke/VarHandles/VarHandleTestByteArrayAsShort.java total: 336, passed: 336, failed: 0, skipped: 0, config failed: 0, config skipped: 0
java/lang/invoke/VarHandles/VarHandleTestMethodHandleAccessBoolean.java total: 28, passed: 28, failed: 0, skipped: 0, config failed: 0, config skipped: 0
java/lang/invoke/VarHandles/VarHandleTestMethodHandleAccessByte.java total: 28, passed: 28, failed: 0, skipped: 0, config failed: 0, config skipped: 0
java/lang/invoke/VarHandles/VarHandleTestMethodHandleAccessChar.java total: 28, passed: 28, failed: 0, skipped: 0, config failed: 0, config skipped: 0
java/lang/invoke/VarHandles/VarHandleTestMethodHandleAccessDouble.java total: 28, passed: 28, failed: 0, skipped: 0, config failed: 0, config skipped: 0
java/lang/invoke/VarHandles/VarHandleTestMethodHandleAccessFloat.java total: 28, passed: 28, failed: 0, skipped: 0, config failed: 0, config skipped: 0
java/lang/invoke/VarHandles/VarHandleTestMethodHandleAccessInt.java total: 28, passed: 28, failed: 0, skipped: 0, config failed: 0, config skipped: 0
java/lang/invoke/VarHandles/VarHandleTestMethodHandleAccessLong.java total: 28, passed: 28, failed: 0, skipped: 0, config failed: 0, config skipped: 0
java/lang/invoke/VarHandles/VarHandleTestMethodHandleAccessShort.java total: 28, passed: 28, failed: 0, skipped: 0, config failed: 0, config skipped: 0
